Id,TextTopics,TopicPercentages
99_7080_5,160,0.7940996
99_7081_5,167,0.86549366
99_7082_5,167,0.9113916
99_7083_5,173,0.5813318
99_7085_5,185,0.8650726
99_7086_5,210,0.83714914
99_7087_5,167,0.86549354
99_7088_5,224,0.9202757
99_7089_5,191,0.92797947
99_7091_5,184,0.9471013
99_7092_5,170,0.49588475
99_7093_5,207,0.9505227
99_7094_5,191,0.94364554
99_7095_5,164,0.9014872
99_7096_5,171,0.89973634
99_7098_5,166,0.8652523
99_7099_5,177,0.45591685
99_7100_5,164,0.92160803
99_7101_5,228,0.9112424
99_7102_5,205,0.960566
99_7104_5,210,0.93382365
99_7105_5,172,0.8066768
99_7106_5,219,0.97182477
99_7107_5,178,0.66383237
99_7109_5,180,0.91117775
99_7110_5,177,0.86515
99_7111_5,191,0.9206244
99_7112_5,167,0.9339351
99_7113_5,164,0.9216083
99_7114_5,177,0.8997639
99_7115_5,211,0.4609798
99_7116_5,213,0.9111604
99_7117_5,175,0.4728066
99_7118_5,223,0.8658629
99_7119_5,190,0.9109698
99_7120_5,210,0.8998507
99_7121_5,182,0.9754338
99_7122_5,175,0.5558731
99_7123_5,166,0.93899035
99_7124_5,192,0.79434496
99_7125_5,200,0.9584348
99_7126_5,195,0.739241
99_7127_5,164,0.70787215
99_7128_5,180,0.89977825
99_7129_5,212,0.6131035
99_7130_5,228,0.95847493
99_7132_5,200,0.56404567
99_7133_5,165,0.95060766
99_7135_5,169,0.59093726
99_7137_5,166,0.9202982
99_7138_5,178,0.9114882
99_7139_5,227,0.9110229
99_7140_5,224,0.7349862
99_7143_5,175,0.9508551
99_7144_5,226,0.38624594
99_7145_5,212,0.6822059
99_7146_5,168,0.92029
99_7147_5,212,0.88504344
99_7148_5,170,0.6003082
99_7149_5,197,0.7230165
99_7150_5,211,0.9536009
99_7151_5,206,0.8650181
99_7152_5,164,0.9014868
99_7154_5,173,0.9393674
99_7155_5,211,0.96252716
99_7156_5,195,0.93930507
99_7157_5,175,0.7721966
99_7158_5,178,0.83759934
99_7159_5,169,0.9278804
99_7160_5,173,0.8381377
99_7161_5,201,0.9606237
99_7162_5,178,0.9606819
99_7163_5,175,0.9117259
99_7164_5,178,0.9642906
99_7165_5,215,0.93381464
99_7166_5,164,0.912692
99_7167_5,170,0.6818194
99_7168_5,169,0.83757424
99_7170_5,224,0.97086257
99_7171_5,159,0.982922
99_7173_5,174,0.8996082
99_7174_5,190,0.8366488
99_7175_5,217,0.8365825
99_7176_5,182,0.9111651
99_7178_5,186,0.8649175
99_7179_5,215,0.79417074
99_7180_5,209,0.927816
99_7181_5,179,0.93907684
99_7182_5,169,0.73816454
99_7183_5,201,0.9625176
99_7184_5,170,0.6797167
99_7186_5,209,0.90002304
99_7187_5,224,0.41969213
99_7188_5,213,0.8369979
99_7189_5,185,0.5638349
99_7191_5,195,0.6436693
99_7193_5,194,0.9535164
99_7194_5,172,0.89983964
99_7196_5,164,0.9038753
99_7197_5,225,0.8996564
99_7198_5,213,0.8369977
99_7199_5,163,0.7715295
99_7200_5,199,0.9337255
99_7201_5,215,0.958469
99_7202_5,223,0.53137827
99_7203_5,164,0.9349047
99_7204_5,226,0.9746
99_7205_5,178,0.92789173
99_7206_5,188,0.9336203
99_7207_5,199,0.94333625
99_7208_5,199,0.8997021
99_7209_5,201,0.94731355
99_7210_5,172,0.95613575
99_7211_5,225,0.9623963
99_7212_5,224,0.97379684
99_7213_5,207,0.96052235
99_7214_5,208,0.9274697
99_7215_5,180,0.920249
99_7216_5,205,0.86524355
99_7217_5,209,0.90002304
99_7218_5,180,0.83702934
99_7219_5,223,0.9002938
99_7220_5,195,0.9280567
99_7221_5,212,0.92026395
99_7222_5,166,0.7204482
99_7223_5,167,0.9113914
99_7224_5,164,0.8674673
99_7227_5,194,0.64490545
99_7228_5,164,0.8869824
99_7229_5,223,0.90029365
99_7231_5,201,0.9434931
99_7232_5,201,0.9277849
99_7233_5,207,0.9389186
99_7236_5,195,0.7289158
99_7237_5,181,0.9869224
99_7238_5,186,0.8649177
99_7239_5,163,0.9641985
99_7240_5,165,0.9203415
99_7241_5,180,0.9433791
99_7242_5,182,0.7724856
99_7243_5,222,0.9792875
99_7244_5,171,0.96415055
99_7245_5,205,0.9389868
99_3019_5,197,0.49134108424186707
99_3019_5,172,0.3076891005039215
99_3028_5,209,0.49469438195228577
99_3028_5,218,0.37307778000831604
99_3147_5,220,0.5140405297279358
99_3147_5,160,0.37571921944618225
99_3166_5,197,0.7230165004730225
99_3166_5,93,0.3333333333333333
99_3191_5,220,0.44643065333366394
99_3191_5,216,0.4430287182331085
99_3196_5,192,0.45161688327789307
99_3196_5,93,0.6
99_3346_5,220,0.9135928153991699
99_3346_5,93,0.375
99_3423_5,175,0.40047487616539
99_3423_5,205,0.36199331283569336
99_3484_5,210,0.4924544095993042
99_3484_5,220,0.37833574414253235
99_3562_5,220,0.7138662338256836
99_3562_5,93,0.3333333333333333
99_3661_5,161,0.5852888822555542
99_3661_5,170,0.33636778593063354
99_3684_5,164,0.4576023519039154
99_3684_5,173,0.3855576813220978
99_3704_5,218,0.5291611552238464
99_3704_5,170,0.31149914860725403
99_3733_5,195,0.6052497029304504
99_3733_5,170,0.3081439137458801
99_3744_5,224,0.4804822504520416
99_3744_5,211,0.4209378659725189
99_3763_5,218,0.5509559512138367
99_3763_5,215,0.33607175946235657
99_3827_5,207,0.5791312456130981
99_3827_5,220,0.38300734758377075
99_3827_5,93,0.3157894736842105
99_3831_5,220,0.47156089544296265
99_3831_5,225,0.46981874108314514
99_3831_5,93,0.3333333333333333
99_3866_5,220,0.5567391514778137
99_3866_5,93,0.3333333333333333
99_3883_5,220,0.9025041460990906
99_3883_5,93,0.42857142857142855
99_3910_5,220,0.4781045913696289
99_3910_5,223,0.3664417564868927
99_3913_5,192,0.7943450808525085
99_3913_5,93,0.3333333333333333
99_4003_5,220,0.868836522102356
99_4003_5,93,0.4
99_4030_5,220,0.44643092155456543
99_4030_5,214,0.4429852068424225
99_4061_5,192,0.46915629506111145
99_4061_5,191,0.3986991047859192
99_4069_5,220,0.5911255478858948
99_4069_5,93,0.5714285714285714
99_4101_5,182,0.579965353012085
99_4101_5,220,0.36147987842559814
99_4109_5,220,0.46628615260124207
99_4109_5,174,0.4641946852207184
99_4117_5,220,0.7996509075164795
99_4117_5,93,0.3333333333333333
99_4126_5,220,0.7215988636016846
99_4126_5,93,0.5
99_4135_5,182,0.4757838547229767
99_4135_5,192,0.3637007474899292
99_4144_5,201,0.5668123960494995
99_4144_5,160,0.3200516998767853
99_4145_5,192,0.7943450808525085
99_4145_5,93,0.3333333333333333
99_4146_5,208,0.5145146250724792
99_4146_5,220,0.38913488388061523
99_4164_5,169,0.4153580367565155
99_4164_5,220,0.3860127329826355
99_4191_5,220,0.7509788870811462
99_4191_5,93,0.42857142857142855
99_4203_5,197,0.4552818536758423
99_4203_5,165,0.34386107325553894
99_4206_5,220,0.5396888256072998
99_4206_5,170,0.3048994541168213
99_4209_5,220,0.6575367450714111
99_4209_5,93,0.3333333333333333
99_4221_5,175,0.5997282266616821
99_4221_5,202,0.3130827248096466
99_4234_5,169,0.4727644920349121
99_4234_5,220,0.45101773738861084
99_4258_5,195,0.5418559312820435
99_4258_5,223,0.3266417384147644
99_4279_5,220,0.6961752772331238
99_4279_5,93,0.4
99_4313_5,220,0.6654953956604004
99_4313_5,93,0.4
99_4328_5,218,0.9278629422187805
99_4328_5,93,0.3
99_4348_5,195,0.4727203845977783
99_4348_5,169,0.3680404722690582
99_4355_5,213,0.4882330596446991
99_4355_5,170,0.4134473204612732
99_7041_5,165,0.47088849544525146
99_7041_5,175,0.36472928524017334
99_7050_5,191,0.443713903427124
99_7050_5,213,0.4434107542037964
99_7052_5,178,0.473138689994812
99_7052_5,200,0.36666640639305115
99_7058_5,172,0.5621340870857239
99_7058_5,166,0.3391469717025757
99_7072_5,168,0.5308753848075867
99_7072_5,169,0.30902594327926636
99_7084_5,160,0.5364354848861694
99_7084_5,170,0.36528918147087097
99_7090_5,173,0.3414195477962494
99_7090_5,178,0.3364011347293854
99_7097_5,178,0.5996355414390564
99_7097_5,170,0.3135554790496826
99_7103_5,173,0.45749929547309875
99_7103_5,228,0.45556968450546265
99_7108_5,167,0.5338470935821533
99_7108_5,170,0.3881233036518097
99_7131_5,168,0.5321882367134094
99_7131_5,178,0.3894782066345215
99_7134_5,184,0.3387998044490814
99_7134_5,218,0.301308810710907
99_7136_5,228,0.3621925413608551
99_7136_5,173,0.35852280259132385
99_7141_5,212,0.5147718191146851
99_7141_5,186,0.3862183392047882
99_7142_5,173,0.5569059252738953
99_7142_5,161,0.387550950050354
99_7153_5,228,0.49637964367866516
99_7153_5,206,0.39018091559410095
99_7169_5,163,0.5148480534553528
99_7169_5,169,0.38673704862594604
99_7172_5,210,0.36226776242256165
99_7172_5,171,0.3619454801082611
99_7185_5,224,0.4418530762195587
99_7185_5,173,0.3985832929611206
99_7195_5,165,0.5199994444847107
99_7195_5,179,0.3474566638469696
99_7225_5,220,0.5405210256576538
99_7225_5,195,0.34901413321495056
99_7226_5,164,0.5556920766830444
99_7226_5,220,0.38680264353752136
99_7234_5,163,0.4197923243045807
99_7234_5,200,0.4195935130119324
99_7235_5,225,0.7937981486320496
99_7235_5,91,0.3333333333333333
