Id,TextTopics,TopicPercentages
99_3807_4,17,0.50570786
99_3808_4,17,0.6657696
99_3821_4,17,0.50570786
99_3823_4,56,0.5612985
99_3826_4,32,0.4836981
99_3834_4,13,0.49173394
99_3836_4,55,0.48323065
99_3837_4,43,0.48295513
99_3839_4,34,0.6491969
99_3842_4,60,0.6506645
99_3846_4,60,0.4678986
99_3851_4,11,0.4936492
99_3853_4,13,0.6501862
99_3854_4,17,0.49873075
99_3861_4,33,0.32845896
99_3862_4,31,0.3758163
99_3864_4,43,0.6495697
99_3865_4,13,0.65018696
99_3875_4,21,0.4837061
99_3889_4,43,0.48295513
99_3890_4,63,0.7678143
99_3892_4,20,0.5589702
99_3893_4,32,0.3953144
99_3894_4,43,0.48295513
99_3900_4,62,0.49527472
99_3903_4,20,0.48639643
99_3909_4,64,0.64902836
99_3914_4,38,0.4845899
99_3915_4,21,0.3953088
99_3921_4,17,0.50570786
99_3923_4,31,0.65056205
99_3925_4,34,0.3931468
99_3927_4,60,0.45978212
99_3931_4,48,0.35916486
99_3932_4,62,0.42421383
99_3945_4,31,0.5915327
99_3949_4,58,0.48118696
99_3951_4,43,0.48295513
99_3954_4,39,0.48314202
99_3956_4,49,0.45408514
99_3959_4,43,0.64956963
99_3960_4,60,0.38238582
99_3962_4,23,0.64962834
99_3965_4,49,0.6609228
99_3966_4,17,0.5057029
99_3973_4,17,0.49898735
99_3974_4,38,0.48458993
99_3979_4,31,0.4844315
99_3980_4,21,0.34884346
99_3982_4,24,0.6489946
99_3983_4,31,0.59155726
99_3986_4,43,0.49125797
99_3987_4,19,0.50345117
99_3991_4,61,0.6493315
99_3995_4,53,0.39436355
99_3996_4,30,0.48450005
99_4008_4,50,0.6796494
99_4009_4,22,0.5540035
99_4012_4,64,0.48214674
99_4014_4,54,0.48823994
99_4020_4,15,0.82125014
99_4022_4,33,0.48275456
99_4023_4,38,0.4845899
99_4032_4,62,0.49070388
99_4033_4,52,0.6528611
99_4035_4,43,0.67122614
99_4036_4,43,0.49417326
99_4039_4,20,0.6519006
99_4041_4,43,0.48295513
99_4042_4,33,0.33593243
99_4048_4,20,0.48639643
99_4050_4,28,0.42036313
