Id,TextTopics,TopicPercentages
99_3625_2,78,0.6985171
99_3626_2,78,0.5432902
99_3633_2,78,0.5548314
99_3636_2,75,0.36273476
99_3637_2,5,0.6306292
99_3639_2,4,0.47797984
99_3643_2,78,0.77499276
99_3645_2,50,0.39072186
99_3646_2,78,0.5432902
99_3648_2,26,0.577828
99_3649_2,78,0.5090321
99_3653_2,79,0.50991803
99_3655_2,9,0.88255733
99_3656_2,61,0.92808896
99_3657_2,65,0.89595604
99_3658_2,78,0.698517
99_3663_2,78,0.5432902
99_3669_2,39,0.8654752
99_3672_2,9,0.9061829
99_3674_2,15,0.8826594
99_3675_2,78,0.69851714
99_3677_2,34,0.73190266
99_3680_2,20,0.88263667
99_3682_2,89,0.6883649
99_3686_2,78,0.698517
99_3689_2,14,0.8825229
99_3690_2,59,0.8655705
99_3693_2,84,0.682775
99_3694_2,89,0.688365
99_3697_2,47,0.91486293
99_3701_2,63,0.86578286
99_3702_2,78,0.5432902
99_3714_2,7,0.8827777
99_3717_2,10,0.5138545
99_3722_2,78,0.5432902
99_3726_2,78,0.51569057
99_3727_2,76,0.7639155
99_3731_2,23,0.31717297
99_3732_2,77,0.81119317
99_3737_2,71,0.7641303
99_3739_2,13,0.3381959
99_3749_2,78,0.5432902
99_3750_2,78,0.5432902
99_3751_2,78,0.5432902
99_3754_2,10,0.6620038
99_3758_2,78,0.5432902
99_3762_2,25,0.59831035
99_3767_2,4,0.65219766
99_3770_2,78,0.3816043
99_3772_2,78,0.61689025
99_3773_2,64,0.68350744
99_3774_2,63,0.48344734
99_3777_2,84,0.8824844
99_3778_2,78,0.5096787
99_3779_2,78,0.50981015
99_3781_2,73,0.69737476
99_3783_2,61,0.5102388
99_3785_2,1,0.6307748
99_3787_2,34,0.5774278
99_3792_2,24,0.88237965
99_3800_2,78,0.51512784
99_3817_2,78,0.5432902
99_3822_2,78,0.52132815
99_3833_2,78,0.5432902
99_3840_2,78,0.5432902
99_3841_2,89,0.68836445
99_3844_2,75,0.56653255
99_3848_2,78,0.69851714
99_3849_2,64,0.95330536
99_3857_2,78,0.3029887
99_3860_2,78,0.51515627
99_3867_2,75,0.31963706
99_3868_2,61,0.76391965
99_3879_2,78,0.6985171
99_3884_2,71,0.33637223
99_3886_2,60,0.6315834
99_3887_2,21,0.47508255
99_3888_2,89,0.68835306
99_3895_2,78,0.50129956
99_3897_2,78,0.5432902
99_3898_2,3,0.9149325
99_3902_2,78,0.77499276
99_3908_2,78,0.77499264
99_3911_2,75,0.6875973
99_3918_2,75,0.4909223
99_3920_2,75,0.37971514
99_3929_2,9,0.7633954
99_3935_2,56,0.60868084
99_3936_2,78,0.69851714
99_3942_2,80,0.50984263
99_3950_2,76,0.81616515
99_3968_2,85,0.84293205
99_3969_2,75,0.6875973
99_3992_2,78,0.48953143
99_3993_2,78,0.698517
99_3998_2,78,0.5190221
99_3999_2,78,0.58590096
99_4004_2,64,0.30144265
99_4005_2,90,0.6032657
99_4011_2,78,0.54329026
99_4016_2,75,0.500915
99_4018_2,3,0.31851664
99_4019_2,30,0.5968572
99_4021_2,75,0.39092895
99_4024_2,3,0.30437765
99_4025_2,78,0.6985171
99_4026_2,78,0.69851714
99_4028_2,40,0.5047909
99_4034_2,51,0.6950597
99_4037_2,18,0.6830384
99_4038_2,47,0.86580735
99_4040_2,78,0.5432902
99_4052_2,78,0.5432902
99_4072_2,78,0.69851714
99_4078_2,2,0.46970856
99_4080_2,7,0.68357295
99_4082_2,78,0.6192527
99_4085_2,11,0.5680455
99_4090_2,11,0.40935686
99_4092_2,30,0.5924944
99_4093_2,25,0.71995366
99_4098_2,22,0.5530703
99_4128_2,19,0.6830863
99_4147_2,79,0.47179544
99_4153_2,89,0.814476
99_4157_2,78,0.5432902
99_4160_2,51,0.7653876
99_4161_2,78,0.5432902
99_4168_2,78,0.77499276
99_4171_2,20,0.52809554
99_4174_2,78,0.52132994
99_4175_2,78,0.45559254
99_4187_2,89,0.6883649
99_4192_2,78,0.77499264
99_4201_2,41,0.92190206
99_4205_2,78,0.5432902
99_4213_2,89,0.5950134
99_4214_2,18,0.81130564
99_4216_2,78,0.5432902
99_4219_2,78,0.5432902
99_4225_2,75,0.51083356
99_4227_2,78,0.5432902
99_4233_2,89,0.55024225
99_4235_2,75,0.7668426
99_4236_2,75,0.6875973
99_4238_2,78,0.5432902
99_4240_2,4,0.46495432
99_4242_2,65,0.4931851
99_4244_2,78,0.6985171
99_4282_2,30,0.55854857
99_4286_2,78,0.45853296
99_4296_2,15,0.6832507
99_4302_2,83,0.59506476
99_4329_2,30,0.37310633
99_4331_2,63,0.3233196
99_4338_2,9,0.68297803
99_4342_2,78,0.698517
99_4353_2,11,0.7633127
99_4362_2,78,0.38347894
99_4364_2,47,0.8432259
99_4368_2,21,0.88255525
99_4369_2,29,0.8244301
99_4370_2,79,0.8957941
99_4372_2,83,0.97539455
99_4373_2,56,0.73192734
99_4374_2,25,0.9414755
99_4376_2,4,0.65775025
99_4377_2,10,0.8430791
99_4380_2,73,0.87067616
99_4381_2,71,0.5104651
99_4382_2,80,0.9449714
99_4383_2,73,0.56240696
99_4386_2,76,0.3788847
99_4387_2,73,0.40667027
99_4388_2,85,0.9507272
99_4389_2,17,0.60928977
99_4390_2,16,0.91465545
99_4391_2,13,0.3365536
99_4392_2,31,0.86549485
99_4393_2,72,0.7567224
99_4395_2,60,0.86580086
99_4397_2,72,0.7010742
99_4399_2,34,0.9146823
99_4400_2,10,0.71432
99_4401_2,86,0.7631457
99_4402_2,21,0.6829719
99_4403_2,1,0.60900146
99_4404_2,54,0.68290675
99_4405_2,65,0.6837843
99_4406_2,69,0.88239634
99_4408_2,89,0.90777606
99_4409_2,31,0.47879395
99_4410_2,5,0.964012
99_4411_2,65,0.70525324
99_4412_2,36,0.9278883
99_4413_2,28,0.36070177
99_4414_2,55,0.8955158
99_4415_2,79,0.89200574
99_4416_2,19,0.7904361
99_4417_2,90,0.914769
99_4419_2,28,0.38315967
99_4420_2,23,0.88243455
99_4421_2,62,0.9062461
99_4422_2,78,0.5305551
99_4423_2,8,0.51952475
99_4425_2,74,0.5196406
99_4426_2,78,0.5145612
99_4427_2,59,0.5672367
99_4428_2,89,0.52791107
99_4429_2,89,0.68836486
99_4430_2,3,0.8828005
99_4431_2,36,0.94491374
99_4432_2,29,0.57749236
99_4433_2,28,0.5109309
99_4434_2,7,0.895887
99_4435_2,70,0.5095711
99_4436_2,47,0.91486245
99_4437_2,79,0.9532731
99_4439_2,67,0.6824914
99_4440_2,61,0.8959224
99_4442_2,71,0.8960153
99_4444_2,93,0.36363636363636365
99_4445_2,35,0.6547839
