Id,TextTopics,TopicPercentages
99_3837_4,110,0.48295513
99_3839_4,101,0.6491967
99_3842_4,127,0.65066504
99_3846_4,127,0.4680661
99_3851_4,78,0.4936492
99_3861_4,100,0.3284941
99_3862_4,98,0.37535048
99_3864_4,110,0.64956796
99_3865_4,80,0.65018696
99_3873_4,136,0.3333333333333333
99_3875_4,88,0.4837061
99_3876_4,134,0.3333333333333333
99_3889_4,110,0.48295513
99_3890_4,130,0.7678177
99_3891_4,136,0.4
99_3894_4,110,0.48295513
99_3900_4,129,0.49527472
99_3901_4,136,0.3333333333333333
99_3909_4,131,0.6490284
99_3915_4,88,0.39530882
99_3921_4,84,0.50570655
99_3923_4,98,0.6505591
99_3925_4,101,0.39314663
99_3927_4,127,0.45981002
99_3931_4,115,0.3592434
99_3932_4,129,0.42421386
99_3938_4,136,0.3333333333333333
99_3945_4,98,0.59153277
99_3947_4,136,0.3333333333333333
99_3949_4,125,0.48118696
99_3951_4,110,0.48295513
99_3954_4,106,0.48314208
99_3958_4,136,0.3333333333333333
99_3959_4,110,0.6495592
99_3960_4,127,0.38242483
99_3962_4,90,0.6496256
99_3965_4,116,0.6609016
99_3966_4,84,0.5056998
99_3979_4,98,0.4844315
99_3980_4,88,0.34875712
99_3982_4,91,0.6489947
99_3983_4,98,0.59155726
99_3984_4,136,0.5
99_3985_4,136,0.3333333333333333
99_3986_4,110,0.49125794
99_3987_4,86,0.5034511
99_3991_4,128,0.6493316
99_3995_4,120,0.39436355
99_3996_4,97,0.48450005
99_4000_4,136,0.3333333333333333
99_4006_4,136,0.3333333333333333
99_4008_4,117,0.6795785
99_4009_4,89,0.5542065
99_4010_4,136,0.3333333333333333
99_4012_4,131,0.48214674
99_4014_4,121,0.48823994
99_4020_4,82,0.82125014
99_4022_4,100,0.48275456
99_4032_4,129,0.49070388
99_4033_4,119,0.65286213
99_4035_4,110,0.6712326
99_4036_4,110,0.4941733
99_4041_4,110,0.48295513
99_4042_4,100,0.33594558
99_4050_4,95,0.42019695
99_4053_4,88,0.4837061
99_4056_4,92,0.61915416
99_4057_4,84,0.5057045
99_4058_4,82,0.49353907
99_4060_4,131,0.6576891
99_4066_4,124,0.48160297
99_4067_4,88,0.7872095
99_4068_4,107,0.63909
99_4071_4,78,0.48161298
99_4077_4,136,0.4
99_4079_4,90,0.64962846
99_4081_4,110,0.48295513
99_4083_4,98,0.4249948
99_4084_4,106,0.48314208
99_4088_4,85,0.3289162
99_4091_4,131,0.49535975
99_4099_4,105,0.6868366
99_4102_4,87,0.33679762
99_4104_4,80,0.48386407
99_4111_4,115,0.73403066
99_4121_4,101,0.6491968
99_4122_4,84,0.5057067
99_4127_4,101,0.48240438
99_4136_4,115,0.4811145
99_4137_4,74,0.3304497
99_4143_4,136,0.3333333333333333
99_4149_4,84,0.50570786
99_4152_4,88,0.5074517
99_4155_4,119,0.44224262
99_4156_4,87,0.77163106
99_4163_4,100,0.3948889
99_4166_4,131,0.7865767
99_4167_4,75,0.82110965
99_4172_4,122,0.38257357
99_4178_4,76,0.48162776
99_4183_4,94,0.48754585
99_4184_4,72,0.49035147
99_4188_4,105,0.3956664
99_4190_4,110,0.48295513
99_4196_4,136,0.3333333333333333
99_4198_4,136,0.3333333333333333
99_4204_4,117,0.48312303
99_4210_4,127,0.48457122
99_4211_4,109,0.5824654
99_4212_4,136,0.3333333333333333
99_4217_4,104,0.6840801
99_4218_4,136,0.5
99_4220_4,98,0.4601793
99_4228_4,95,0.32494727
99_4229_4,77,0.56878006
99_4231_4,122,0.48321846
99_4237_4,110,0.48295513
99_4239_4,74,0.39525
99_4241_4,91,0.64899176
99_4251_4,123,0.70567447
99_4252_4,90,0.64962137
99_4253_4,94,0.48754585
99_4256_4,70,0.48241884
99_4259_4,76,0.48162776
99_4263_4,100,0.38786206
99_4264_4,91,0.6489981
99_4266_4,98,0.42715475
99_4269_4,73,0.49128845
99_4270_4,86,0.48325425
99_4275_4,84,0.50570697
99_4276_4,72,0.84637916
99_4277_4,111,0.48364824
99_4280_4,129,0.481847
99_4281_4,90,0.38520527
99_4283_4,126,0.6490088
99_4287_4,130,0.7419823
99_4289_4,131,0.3646523
99_4290_4,117,0.45918134
99_4292_4,85,0.42437005
99_4298_4,117,0.5910018
99_4300_4,136,0.3333333333333333
99_4306_4,118,0.49038407
99_4309_4,84,0.5057079
99_4310_4,74,0.39128122
99_4311_4,106,0.48314208
99_4319_4,72,0.6186743
99_4320_4,107,0.39485183
99_4322_4,84,0.50570536
99_4330_4,84,0.5057069
99_4334_4,89,0.733981
99_4335_4,89,0.42144322
99_4340_4,72,0.61144644
99_4347_4,100,0.49115688
99_4349_4,79,0.7583545
99_4360_4,77,0.41711068
99_4361_4,117,0.73436344
99_4738_4,84,0.5057078
99_4740_4,97,0.6506246
99_4741_4,112,0.74205405
99_4742_4,128,0.48260576
99_4743_4,108,0.48266587
99_4744_4,118,0.64839256
99_4747_4,112,0.9018143
99_4748_4,108,0.48266688
99_4749_4,124,0.3717953
99_4750_4,128,0.48260576
99_4751_4,110,0.74238163
99_4753_4,127,0.84737736
99_4754_4,126,0.48212266
99_4755_4,82,0.8920201
99_4756_4,126,0.8393988
99_4757_4,105,0.4845772
99_4758_4,83,0.4830829
99_4759_4,86,0.66800654
99_4762_4,92,0.6500227
99_4764_4,108,0.49111533
99_4765_4,119,0.4877912
99_4766_4,83,0.4391765
99_4767_4,104,0.48178974
99_4768_4,82,0.4812982
99_4770_4,130,0.481395
99_4772_4,131,0.42430353
99_4776_4,109,0.7057806
99_4777_4,86,0.51015604
99_4778_4,112,0.8117485
99_4779_4,70,0.42438665
99_4780_4,126,0.8655823
99_4783_4,95,0.8097371
99_4787_4,86,0.51015604
99_4788_4,71,0.6708839
99_4789_4,83,0.6481854
99_4791_4,86,0.51015604
99_4792_4,79,0.9322654
99_4793_4,89,0.9727815
99_4795_4,81,0.8805646
99_4796_4,111,0.9021912
99_4797_4,104,0.48178786
99_4801_4,101,0.6467497
99_4802_4,87,0.940327
99_4803_4,117,0.8218738
99_4805_4,92,0.65002847
99_4806_4,118,0.6565225
99_4807_4,108,0.74942935
99_4810_4,95,0.4549724
99_4811_4,86,0.51015604
99_4815_4,132,0.8421185
99_4816_4,86,0.51015604
99_4817_4,87,0.48637578
99_4818_4,108,0.48266688
99_4820_4,127,0.484568
99_4821_4,121,0.48821652
99_4823_4,70,0.48241884
99_4824_4,83,0.8061937
99_4825_4,88,0.73394233
99_4827_4,81,0.4830595
99_4828_4,133,0.7238644
99_4830_4,92,0.650032
99_4831_4,92,0.48363632
99_4832_4,86,0.51015604
99_4840_4,86,0.3041479
99_4841_4,86,0.66800654
99_4842_4,86,0.51015604
99_4844_4,90,0.48304033
99_4845_4,86,0.51015604
99_4847_4,113,0.4822604
99_4848_4,121,0.6203317
99_4849_4,86,0.51011
99_4850_4,69,0.375833
99_4856_4,104,0.48178345
99_4859_4,90,0.35128832
99_4860_4,92,0.6500327
99_4863_4,103,0.4826019
99_4864_4,113,0.47693527
99_4868_4,70,0.48241884
99_4870_4,123,0.59510326
99_4871_4,102,0.88021016
99_4872_4,70,0.48241884
99_4873_4,86,0.51015604
99_4876_4,82,0.6484505
99_4881_4,86,0.51015604
99_4882_4,121,0.48821652
99_4887_4,73,0.59097207
99_4888_4,83,0.49133158
99_4889_4,128,0.48260576
99_4892_4,106,0.73003465
99_4895_4,99,0.48369375
99_4896_4,97,0.484509
99_4897_4,86,0.51015604
99_4898_4,121,0.48823977
99_4899_4,79,0.5902987
99_4900_4,119,0.48781252
99_4903_4,119,0.5872523
99_4904_4,86,0.51015604
99_4906_4,119,0.4878119
99_4908_4,92,0.48363632
99_4909_4,121,0.6531497
99_4911_4,114,0.4838539
99_4913_4,84,0.664992
99_4914_4,86,0.51015604
99_4915_4,86,0.6680057
99_4916_4,84,0.4934107
99_4917_4,84,0.5057082
99_4918_4,98,0.49201897
99_4923_4,86,0.66800636
99_4924_4,86,0.51015604
99_4925_4,126,0.64900887
99_4926_4,110,0.48295173
99_4928_4,120,0.5658422
99_4929_4,103,0.4826019
99_4931_4,98,0.5491045
99_4932_4,86,0.66800654
99_4933_4,103,0.33939698
99_4934_4,86,0.51015604
99_4938_4,80,0.5533532
99_4941_4,80,0.72209126
99_4942_4,83,0.6981583
99_4945_4,78,0.6736819
99_4948_4,86,0.60214305
99_4951_4,92,0.6500296
99_4953_4,69,0.48104522
99_4954_4,124,0.48160726
99_4956_4,86,0.66800636
99_4958_4,72,0.61851406
99_4959_4,121,0.31621006
99_4965_4,128,0.3670725
99_4967_4,128,0.48260576
99_4968_4,119,0.48781252
99_4969_4,110,0.4829522
99_4970_4,102,0.48152545
99_4971_4,86,0.6680063
99_4972_4,86,0.49067858
99_4975_4,133,0.91883415
99_4978_4,96,0.64953697
99_4979_4,84,0.39652875
99_4982_4,92,0.47506195
99_4984_4,86,0.4935195
99_4985_4,84,0.5057082
99_4986_4,100,0.3488084
99_4987_4,133,0.35401025
99_4989_4,91,0.8803417
99_4990_4,127,0.33082727
99_4991_4,98,0.6505689
99_4992_4,119,0.4878119
99_4993_4,86,0.49709344
99_4994_4,86,0.6680044
99_4995_4,80,0.39537314
99_4996_4,81,0.4830595
99_4997_4,121,0.48823994
99_5002_4,111,0.76448244
99_5003_4,77,0.44340965
99_5004_4,91,0.63169295
99_5006_4,80,0.8471682
99_5007_4,128,0.48260576
99_5009_4,127,0.6506624
99_5016_4,128,0.48260576
99_5019_4,84,0.50570786
99_5021_4,123,0.59033054
99_5024_4,86,0.51015604
99_5028_4,77,0.58559537
99_5030_4,108,0.71625066
99_5031_4,74,0.39524692
99_5032_4,133,0.4816664
99_5035_4,84,0.8296633
99_5036_4,117,0.4110536
99_5039_4,84,0.505707
99_5040_4,115,0.8273475
99_5041_4,108,0.6493722
99_5043_4,86,0.6680061
99_5045_4,114,0.7872745
99_5048_4,74,0.48357338
99_5050_4,120,0.6485355
99_5052_4,111,0.65004987
99_5055_4,119,0.48781252
99_5056_4,86,0.66800654
99_5057_4,127,0.33082
99_5058_4,110,0.49127102
99_5059_4,84,0.59549654
99_5060_4,108,0.49509707
99_5061_4,120,0.94290525
99_5062_4,126,0.48213685
99_5063_4,92,0.65003276
99_5068_4,109,0.48181987
99_5070_4,86,0.51015604
99_5073_4,86,0.53871197
99_5074_4,123,0.5519181
99_5075_4,87,0.6518995
99_5077_4,119,0.48781252
99_5081_4,84,0.4977725
99_5084_4,103,0.4826019
99_5085_4,86,0.5034566
99_5087_4,83,0.3483175
99_5091_4,86,0.51015604
99_5092_4,104,0.64878076
99_5093_4,106,0.48313802
99_5094_4,74,0.39522716
99_5098_4,110,0.5477022
99_5102_4,103,0.4826019
99_5104_4,78,0.49057382
99_5106_4,81,0.34215632
99_5111_4,88,0.48369005
99_5117_4,86,0.51015604
99_5118_4,108,0.4911155
99_5121_4,86,0.49703512
99_5124_4,84,0.50569946
99_5125_4,92,0.6500322
99_5126_4,92,0.73532355
99_5127_4,90,0.48304033
99_5131_4,108,0.48266688
99_5132_4,86,0.668006
99_5134_4,84,0.6649919
99_5136_4,91,0.48209792
99_5137_4,121,0.33202547
99_5138_4,92,0.48363632
99_5139_4,84,0.5057066
99_5140_4,86,0.7141439
99_5141_4,86,0.37346306
99_5142_4,103,0.4826019
99_5143_4,84,0.36113065
99_5144_4,101,0.64919674
99_5145_4,80,0.6501876
99_5146_4,84,0.66499186
