Id,TextTopics,TopicPercentages
99_3621_2,3,0.32617775
99_3622_2,78,0.698517
99_3623_2,81,0.6834218
99_3625_2,78,0.6985171
99_3626_2,78,0.5432902
99_3633_2,78,0.55552
99_3636_2,75,0.3628018
99_3637_2,5,0.6306292
99_3639_2,4,0.47800997
99_3643_2,78,0.77499276
99_3645_2,50,0.3906541
99_3646_2,78,0.5432902
99_3648_2,26,0.5778281
99_3649_2,78,0.5089733
99_3653_2,79,0.50996256
99_3655_2,9,0.88255715
99_3656_2,61,0.92808896
99_3657_2,65,0.89595604
99_3658_2,78,0.698517
99_3663_2,78,0.54329026
99_3669_2,39,0.8654724
99_3672_2,9,0.9061829
99_3674_2,15,0.8826594
99_3675_2,78,0.69851714
99_3677_2,34,0.73190266
99_3680_2,20,0.8826411
99_3682_2,89,0.68836474
99_3686_2,78,0.698517
99_3689_2,14,0.8825229
99_3690_2,59,0.8655705
99_3693_2,84,0.6827791
99_3694_2,89,0.68836486
99_3697_2,47,0.91486293
99_3701_2,63,0.86578286
99_3702_2,78,0.5432902
99_3708_2,6,0.68268925
99_3714_2,7,0.8827777
99_3717_2,78,0.5104385
99_3722_2,78,0.5432902
99_3726_2,78,0.51605636
99_3727_2,76,0.7639164
99_3731_2,23,0.31876057
99_3732_2,77,0.81118876
99_3737_2,71,0.76412976
99_3749_2,78,0.5432902
99_3750_2,78,0.5432902
99_3751_2,78,0.54329026
99_3754_2,10,0.6619162
99_3758_2,78,0.54329026
99_3762_2,25,0.59858876
99_3767_2,4,0.6521176
99_3770_2,78,0.3820624
99_3772_2,78,0.6163159
99_3773_2,64,0.68350744
99_3774_2,63,0.48479974
99_3777_2,84,0.8824843
99_3778_2,78,0.5091614
99_3779_2,78,0.5088335
99_3781_2,73,0.69733226
99_3783_2,61,0.5102547
99_3785_2,1,0.6307748
99_3787_2,34,0.57742774
99_3792_2,24,0.88237965
99_3800_2,78,0.5151805
99_3817_2,78,0.5432902
99_3822_2,78,0.5213282
99_3833_2,78,0.5432902
99_3840_2,78,0.5432902
99_3841_2,89,0.68836415
99_3844_2,75,0.5663982
99_3848_2,78,0.69851714
99_3849_2,64,0.95330536
99_3860_2,78,0.51481247
99_3867_2,75,0.31955618
99_3868_2,61,0.76391965
99_3879_2,78,0.698517
99_3884_2,71,0.33441174
99_3886_2,60,0.63152814
99_3887_2,21,0.47395334
99_3888_2,89,0.6883647
99_3895_2,78,0.5013026
