Id,TextTopics,TopicPercentages
99_7081_5,170,0.86549366
99_7082_5,170,0.9113916
99_7083_5,176,0.58151937
99_7085_5,188,0.8650726
99_7086_5,213,0.83714914
99_7087_5,170,0.86549354
99_7088_5,227,0.9202757
99_7089_5,194,0.92797947
99_7091_5,187,0.9471013
99_7092_5,173,0.4955718
99_7093_5,210,0.9505227
99_7094_5,194,0.94364554
99_7095_5,167,0.9014872
99_7096_5,174,0.89973634
99_7098_5,169,0.8652523
99_7099_5,180,0.45706585
99_7100_5,167,0.92160803
99_7101_5,231,0.9112424
99_7102_5,208,0.960566
99_7104_5,213,0.93382365
99_7105_5,175,0.80685323
99_7106_5,222,0.97182477
99_7107_5,181,0.66375023
99_7109_5,183,0.91117775
99_7110_5,180,0.86515
99_7111_5,194,0.9206244
99_7112_5,170,0.9339351
99_7113_5,167,0.9216083
99_7114_5,180,0.8997639
99_7115_5,214,0.4610707
99_7116_5,216,0.91116035
99_7117_5,178,0.47486883
99_7118_5,226,0.8658629
99_7119_5,193,0.9109698
99_7120_5,213,0.8998507
99_7121_5,185,0.9754338
99_7122_5,178,0.55541384
99_7123_5,169,0.93899035
99_7124_5,195,0.79434496
99_7125_5,203,0.9584348
99_7126_5,198,0.7395226
99_7127_5,167,0.7079266
99_7128_5,183,0.89977825
99_7129_5,215,0.6130179
99_7130_5,231,0.95847493
99_7132_5,203,0.56404567
99_7133_5,168,0.95060766
99_7135_5,172,0.5909373
99_7137_5,169,0.9202982
99_7138_5,181,0.9114882
99_7139_5,230,0.9110229
99_7140_5,227,0.73441553
99_7143_5,178,0.9508551
99_7144_5,229,0.38624594
99_7145_5,215,0.6822871
99_7146_5,171,0.92029
99_7147_5,215,0.88504344
99_7148_5,173,0.6001663
99_7149_5,200,0.7230165
99_7150_5,214,0.9536008
99_7151_5,209,0.8650181
99_7152_5,167,0.9014868
99_7154_5,176,0.9393674
99_7155_5,214,0.9625271
99_7156_5,198,0.93930507
99_7157_5,178,0.7722738
99_7158_5,181,0.83759934
99_7159_5,172,0.9278804
99_7160_5,176,0.8381377
99_7161_5,204,0.9606237
99_7162_5,181,0.9606819
99_7163_5,178,0.9117259
99_7164_5,181,0.9642906
99_7165_5,218,0.93381464
99_7166_5,167,0.912692
99_7167_5,173,0.6802037
99_7168_5,172,0.83757424
99_7170_5,227,0.9708626
99_7171_5,162,0.982922
99_7173_5,177,0.8996082
99_7174_5,193,0.8366488
99_7175_5,220,0.8365825
99_7176_5,185,0.9111652
99_7178_5,189,0.8649175
99_7179_5,218,0.79417074
99_7180_5,212,0.927816
99_7181_5,182,0.9390768
99_7182_5,172,0.7381645
99_7183_5,204,0.9625176
99_7184_5,173,0.67971677
99_7186_5,212,0.9000231
99_7187_5,227,0.41969213
99_7188_5,216,0.8369979
99_7189_5,188,0.56383497
99_7191_5,198,0.6436693
99_7193_5,197,0.9535165
99_7194_5,175,0.89983964
99_7196_5,167,0.90387523
99_7197_5,228,0.8996564
99_7198_5,216,0.8369977
99_7199_5,166,0.7715295
99_7200_5,202,0.9337255
99_7201_5,218,0.958469
99_7202_5,226,0.5313783
99_7203_5,167,0.9349047
99_7204_5,229,0.9746
99_7205_5,181,0.92789173
99_7206_5,191,0.9336203
99_7207_5,202,0.94333625
99_7208_5,202,0.8997021
99_7209_5,204,0.94731355
99_7210_5,175,0.95613575
99_7211_5,228,0.9623963
99_7212_5,227,0.97379684
99_7213_5,210,0.96052235
99_7214_5,211,0.9274697
99_7215_5,183,0.920249
99_7216_5,208,0.8652436
99_7217_5,212,0.90002304
99_7218_5,183,0.83702934
99_7219_5,226,0.9002939
99_7220_5,198,0.9280567
99_7221_5,215,0.92026395
99_7222_5,169,0.7204482
99_7223_5,170,0.9113914
99_7224_5,167,0.8674673
99_7227_5,197,0.6450278
99_7228_5,167,0.8869824
99_7229_5,226,0.9002936
99_7231_5,204,0.9434931
99_7232_5,204,0.9277849
99_7233_5,210,0.9389186
99_7236_5,198,0.7289096
99_7237_5,184,0.9869223
99_7238_5,189,0.8649177
99_7239_5,166,0.9641986
99_7240_5,168,0.9203415
99_7241_5,183,0.9433791
99_7242_5,185,0.7725021
99_7243_5,225,0.9792875
99_7244_5,174,0.96415055
99_7245_5,208,0.9389868
99_3019_5,200,0.4936530590057373
99_3019_5,175,0.30537712574005127
99_3028_5,212,0.4933214783668518
99_3028_5,221,0.3744506537914276
99_3147_5,223,0.5138863921165466
99_3147_5,163,0.3758733868598938
99_3166_5,200,0.7230165004730225
99_3166_5,234,0.3333333333333333
99_3191_5,223,0.44643065333366394
99_3191_5,219,0.4430287182331085
99_3196_5,195,0.45108458399772644
99_3196_5,234,0.6
99_3346_5,223,0.9135928153991699
99_3346_5,234,0.375
99_3423_5,178,0.40088924765586853
99_3423_5,208,0.361601859331131
99_3484_5,213,0.49241122603416443
99_3484_5,223,0.37837889790534973
99_3562_5,223,0.713933527469635
99_3562_5,234,0.3333333333333333
99_3661_5,164,0.5854557752609253
99_3661_5,173,0.33620089292526245
99_3684_5,167,0.4548647403717041
99_3684_5,176,0.3882952928543091
99_3704_5,221,0.5403860211372375
99_3704_5,173,0.30027422308921814
99_3733_5,198,0.6052677035331726
99_3733_5,173,0.30812588334083557
99_3744_5,227,0.4807954728603363
99_3744_5,214,0.42062461376190186
99_3763_5,221,0.5508053302764893
99_3763_5,218,0.3362223505973816
99_3827_5,210,0.5791502594947815
99_3827_5,223,0.382988303899765
99_3827_5,234,0.3157894736842105
99_3831_5,223,0.47156086564064026
99_3831_5,228,0.46981874108314514
99_3831_5,234,0.3333333333333333
99_3866_5,223,0.5569063425064087
99_3866_5,234,0.3333333333333333
99_3883_5,223,0.9025041460990906
99_3883_5,234,0.42857142857142855
99_3910_5,223,0.47795915603637695
99_3910_5,226,0.36658716201782227
99_3913_5,195,0.7943450808525085
99_3913_5,234,0.3333333333333333
99_3944_5,173,0.5101174712181091
99_3944_5,168,0.33022797107696533
99_4003_5,223,0.868836522102356
99_4003_5,234,0.4
99_4030_5,223,0.44643089175224304
99_4030_5,217,0.4429852068424225
99_4061_5,195,0.46759459376335144
99_4061_5,194,0.4002607762813568
99_4069_5,223,0.5905815958976746
99_4069_5,234,0.5714285714285714
99_4101_5,185,0.579885721206665
99_4101_5,223,0.3615594208240509
99_4109_5,223,0.4662860929965973
99_4109_5,177,0.4641946852207184
99_4117_5,223,0.7996509075164795
99_4117_5,234,0.3333333333333333
99_4126_5,223,0.7214335799217224
99_4126_5,234,0.5
99_4135_5,185,0.4758884608745575
99_4135_5,195,0.363596111536026
99_4144_5,204,0.5656853914260864
99_4144_5,163,0.32117870450019836
99_4145_5,195,0.7943450808525085
99_4145_5,234,0.3333333333333333
99_4146_5,211,0.5145146250724792
99_4146_5,223,0.38913488388061523
99_4164_5,172,0.415456086397171
99_4164_5,223,0.38591468334198
99_4191_5,223,0.7510121464729309
99_4191_5,234,0.42857142857142855
99_4203_5,200,0.4651573598384857
99_4203_5,168,0.3339855670928955
99_4206_5,223,0.5403110384941101
99_4206_5,173,0.30427736043930054
99_4209_5,223,0.6562082171440125
